ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Statement,Value,ColumnIndex,Sentiment
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,3,-2,3,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,41,-2,3,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,35,-2,3,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,31,-1,4,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,32,-1,4,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,11,-1,4,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,19,-1,4,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,26,-1,4,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,9,-1,4,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,28,-1,4,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,30,0,5,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,29,0,5,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,21,0,5,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,18,0,5,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,5,0,5,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,17,0,5,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,10,0,5,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,36,0,5,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,34,1,6,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,4,1,6,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,13,1,6,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,1,1,6,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,37,1,6,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,39,2,7,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,40,2,7,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,38,3,8,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,16,3,8,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,25,3,8,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,23,4,9,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,7,4,9,Negative
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,22,4,9,Positive
121,28,9,QA3,2,2024-09-30 14:09:32.428550918 +0000 UTC,53,15,5,10,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,22,-5,0,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,29,-4,1,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,14,-3,2,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,31,-3,2,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,36,-3,2,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,42,-3,2,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,3,-2,3,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,2,-2,3,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,8,-2,3,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,35,-2,3,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,34,-2,3,Negative
